Dataset,Feature_Noise,Label_Noise,Model,C,k,Train Acc,Test Acc
breast_cancer,Clean,20%,SKiP-average,10.0,5.0,0.7912087912087912,0.7368421052631579
breast_cancer,Clean,20%,SKiP-average-minmax,10.0,5.0,0.7912087912087912,0.7368421052631579
breast_cancer,Clean,20%,KNNSVM,100.0,5.0,0.8065934065934066,0.7192982456140351
breast_cancer,Clean,20%,SKiP-multiply,100.0,5.0,0.6197802197802198,0.6140350877192983
breast_cancer,Clean,20%,SKiP-multiply-minmax,100.0,5.0,0.6131868131868132,0.6052631578947368
breast_cancer,Clean,20%,SKiP-average,100.0,5.0,0.789010989010989,0.7456140350877193
breast_cancer,Clean,20%,SKiP-average-minmax,100.0,5.0,0.7912087912087912,0.7456140350877193
breast_cancer,5%,0%,NaiveSVM,0.1,,0.9551166965888689,0.9142857142857143
breast_cancer,5%,0%,ProbSVM,0.1,,0.6140035906642729,0.6142857142857143
breast_cancer,5%,0%,NaiveSVM,1.0,,0.9622980251346499,0.9214285714285714
breast_cancer,5%,0%,ProbSVM,1.0,,0.6140035906642729,0.6142857142857143
breast_cancer,5%,0%,NaiveSVM,10.0,,0.9551166965888689,0.9071428571428571
breast_cancer,5%,0%,ProbSVM,10.0,,0.6140035906642729,0.6142857142857143
breast_cancer,5%,0%,NaiveSVM,100.0,,0.9551166965888689,0.9
breast_cancer,5%,0%,ProbSVM,100.0,,0.6157989228007181,0.6285714285714286
breast_cancer,5%,0%,KNNSVM,0.1,5.0,0.9461400359066428,0.9214285714285714
breast_cancer,5%,0%,SKiP-multiply,0.1,5.0,0.6140035906642729,0.6142857142857143
breast_cancer,5%,0%,SKiP-multiply-minmax,0.1,5.0,0.6140035906642729,0.6142857142857143
breast_cancer,5%,0%,SKiP-average,0.1,5.0,0.9389587073608617,0.9214285714285714
breast_cancer,5%,0%,SKiP-average-minmax,0.1,5.0,0.9389587073608617,0.9214285714285714
breast_cancer,5%,0%,KNNSVM,1.0,5.0,0.9605026929982047,0.9214285714285714
breast_cancer,5%,0%,SKiP-multiply,1.0,5.0,0.6140035906642729,0.6142857142857143
breast_cancer,5%,0%,SKiP-multiply-minmax,1.0,5.0,0.6140035906642729,0.6142857142857143
breast_cancer,5%,0%,SKiP-average,1.0,5.0,0.9551166965888689,0.9142857142857143
breast_cancer,5%,0%,SKiP-average-minmax,1.0,5.0,0.9551166965888689,0.9142857142857143
breast_cancer,5%,0%,KNNSVM,10.0,5.0,0.9569120287253142,0.9142857142857143
breast_cancer,5%,0%,SKiP-multiply,10.0,5.0,0.6140035906642729,0.6142857142857143
breast_cancer,5%,0%,SKiP-multiply-minmax,10.0,5.0,0.6140035906642729,0.6142857142857143
breast_cancer,5%,0%,SKiP-average,10.0,5.0,0.9605026929982047,0.9142857142857143
breast_cancer,5%,0%,SKiP-average-minmax,10.0,5.0,0.9605026929982047,0.9142857142857143
breast_cancer,5%,0%,KNNSVM,100.0,5.0,0.9622980251346499,0.9
breast_cancer,5%,0%,SKiP-multiply,100.0,5.0,0.6157989228007181,0.6285714285714286
breast_cancer,5%,0%,SKiP-multiply-minmax,100.0,5.0,0.6140035906642729,0.6285714285714286
breast_cancer,5%,0%,SKiP-average,100.0,5.0,0.9622980251346499,0.9142857142857143
breast_cancer,5%,0%,SKiP-average-minmax,100.0,5.0,0.9622980251346499,0.9142857142857143
breast_cancer,5%,5%,NaiveSVM,0.1,,0.9084380610412927,0.8642857142857143
breast_cancer,5%,5%,ProbSVM,0.1,,0.5960502692998204,0.6
breast_cancer,5%,5%,NaiveSVM,1.0,,0.9084380610412927,0.85
breast_cancer,5%,5%,ProbSVM,1.0,,0.5960502692998204,0.6
breast_cancer,5%,5%,NaiveSVM,10.0,,0.9066427289048474,0.8571428571428571
breast_cancer,5%,5%,ProbSVM,10.0,,0.5960502692998204,0.6
breast_cancer,5%,5%,NaiveSVM,100.0,,0.9066427289048474,0.8428571428571429
breast_cancer,5%,5%,ProbSVM,100.0,,0.5978456014362658,0.6
breast_cancer,5%,5%,KNNSVM,0.1,5.0,0.9084380610412927,0.8642857142857143
breast_cancer,5%,5%,SKiP-multiply,0.1,5.0,0.5960502692998204,0.6
breast_cancer,5%,5%,SKiP-multiply-minmax,0.1,5.0,0.5960502692998204,0.6
breast_cancer,5%,5%,SKiP-average,0.1,5.0,0.8994614003590664,0.8714285714285714
breast_cancer,5%,5%,SKiP-average-minmax,0.1,5.0,0.8994614003590664,0.8714285714285714
breast_cancer,5%,5%,KNNSVM,1.0,5.0,0.9138240574506283,0.8642857142857143
breast_cancer,5%,5%,SKiP-multiply,1.0,5.0,0.5960502692998204,0.6
breast_cancer,5%,5%,SKiP-multiply-minmax,1.0,5.0,0.5960502692998204,0.6
breast_cancer,5%,5%,SKiP-average,1.0,5.0,0.9102333931777379,0.8714285714285714
breast_cancer,5%,5%,SKiP-average-minmax,1.0,5.0,0.9102333931777379,0.8714285714285714
breast_cancer,5%,5%,KNNSVM,10.0,5.0,0.9102333931777379,0.8714285714285714
